Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
Measat 3B (Malaysia East Asia Sat 3B),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,Not Available,"35,772","35,802",0.05,1436.11,"5,800",0,"16,000",9/11/2014,15,Airbus Defence and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,2014-054B,40147,48 Ku-band transponders.
Optus 10,Australia,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,GEO,Not Available,"35,772","35,802",0.05,1436.11,"3,270",0,0,9/11/2014,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-054A,40146,24 Ku-band transponders.
CLIO (USA 257),USA,Unknown US agency,Military,Communications,GEO,Not Available,"35,736","35,854",0.04,1436.5,0,0,0,9/16/2014,0,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2014-055A,40208,Possibly signals intelligence satellite.
Luch/Olympus,Russia,Ministry of Defense,Military,Communications,GEO,Not Available,"35,781","35,793",0.05,1436.12,0,0,0,9/27/2014,15,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2014-058A,40258,Likely serve as a data relay station for military satellites when they are orbiting the Earth beyond the range of ground stations. 
Himawari 8,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,GEO,Not Available,"35,774","35,797",0.08,1436.06,"3,500","1,300","2,600",10/7/2014,8,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2014-060A,40267,Equipped with highly improved Advanced Himawari Imagers (AHIs).
IRNSS-1C (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,GEO,Not Available,"35,690","35,871",4.96,1435.8,"1,425",598,"1,660",10/15/2014,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2014-061A,40269,Not Available
ArSat 1,Argentina,ArSat,Commercial,Communications,GEO,Not Available,"35,778","35,795",0.01,1436.07,"3,000",0,0,10/16/2014,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay."
Intelsat 30/DLA 1,USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,776","35,793",0.03,1435.97,"6,220",0,0,10/16/2014,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-062A,40271,"72 Ku-band transponders and 10 C-band transponders. Hosts DLA-1, DirecTV to Latin America."
Express-AM6 (Eutelsat 53A),Russia,International Organization of Space Communications (Intersputnik),Commercial,Communications,GEO,Not Available,"34,094","37,636",0.53,1440.09,"3,358","1,100","14,000",10/21/2014,15,ISS Reshetnev ,Russia,Baikonur Cosmodrome,Proton M,2014-064A,40277,New and improved version of Express-AM5
DirecTV-14,USA,"DirecTV, Inc.",Commercial,Communications,GEO,Not Available,"35,930","35,933",0.02,1443.51,"5,900",0,"20,000",12/6/2014,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-078B,40333,20-kilowatt Ka- and reverse-band digital broadcast satellite (DBS) that will ultimately bring 4K UHD content to DirecTV’s US customers.
Jiading-1 (OKW-01),China,Space OK (Shanghai Ok Space Co Ltd.),Commercial,Communications,LEO,Sun-Synchronous,489,504,97.4,97.3,45,0,0,11/19/2018,0,Shanghai Ok Space Co Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2018-094B,43711,First in planned Xianyung LEO constellation for Internet of Things connectivity.
Jilin-1 (High Resolution 03-A),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,555,575,45,96,42,0,0,6/5/2019,0,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2019-032A,44310,First sea launch for China.
"Jilin-1 (Lingqiao-A, Lingqiao Video A)",China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,639,664,98.04,97.75,95,0,0,10/7/2015,0,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057B,40959,High resolution video imaging.
"Jilin-1 (Lingqiao-B, Lingqiao Video B)",China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,639,663,98.04,97.74,95,0,0,10/7/2015,0,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057C,40960,High resolution video imaging.
Jilin-1 Gaofen 02A,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,537,554,97.5,95.4,95,0,0,11/13/2019,0,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2019-075A,44777,High resolution multi-spectral imaging.
Jilin-1 Gaofen 02B,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,537,553,97.5,95.4,95,0,0,12/7/2019,0,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2019-086A,44836,High resolution optical imaging.
Jilin-1 Kuanfu-1,China,Chang Guang Satellite Technology Co. Ltd. ,Commercial,Earth Observation,LEO,Sun-Synchronous,477,492,97.3,94.3,95,0,0,1/15/2020,0,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2020-003A,45016,"New type of optical camera with a wide field-of-view and high resolution, and is also capable of high-speed data transmission"
"Jilin-1-1 (Optical A, Lingqiao 1)",China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,638,662,98.05,97.73,400,0,0,10/7/2015,0,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057D,40961,High resolution earth-imaging. First commercial satellite for earth observation in China.
Jilin-1-10 (Guanpu 2),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,521,538,97.5,95.2,95,0,0,1/21/2019,3,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 11,2019-005E,43946,Not Available
Jilin-1-3 (Lingqiao 3),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,531,544,95.4,97.54,400,0,0,1/9/2017,0,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou,2017-002B,41914,High resolution earth-imaging. First commercial satellite for earth observation in China.
Jilin-1-4 (Shipin 4),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,532,545,97.5,95.4,95,0,0,11/21/2017,3,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2017-074A,43022,First of a large all purpose constellation.
Jilin-1-5 (Shipin 5),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,531,544,97.5,95.4,95,0,0,11/21/2017,3,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2017-074B,43023,Not Available
Jilin-1-6 (Shipin 6),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,531,544,97.5,95.4,95,0,0,11/21/2017,3,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2017-074C,43024,Not Available
Jilin-1-7 (Shipin 7),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,523,546,97.5,95.3,95,0,0,1/18/2018,3,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 11,2018-008E,53159,Not Available
Jilin-1-8 (Shipin 8),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,527,546,97.5,95.3,95,0,0,1/18/2018,3,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 11,2018-008F,53160,Not Available
Jilin-1-9 (Guanpu 1),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,521,538,97.5,95.2,95,0,0,1/21/2019,3,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 11,2019-005B,43943,Not Available
Jingshi-1 (BNU-1),China,Chinese University Corporation for Polar Research,Civil,Earth Observation,LEO,Sun-Synchronous,732,749,98.6,99.6,16,0,0,9/12/2019,0,Shenzhen Aerospace Dongfanghong Development Ltd.,China,Taiyuan Launch Center,Long March 4B,2019-059B,44529,"Study polar ice, also examine by AIS ships traversing polar region."
JYISat (JO 97),Jordan,Crown Prince Foundation,Civil,Communications,LEO,Sun-Synchronous,573,590,97.7,93.6,2,0,0,12/3/2018,0,Royal Jordanian Radio Amateur Society,Jordan,Vandenberg AFB,Falcon 9,2018-099AX,43803,Build up space capability related to cubesat development in Jordan.
Kaituo-1A (Xinyan-2),China,China Aerospace Science and Technology Corp. (CASC),Government,Technology Development,LEO,Sun-Synchronous,518,536,97.46,95.18,130,0,0,9/19/2015,0,China Aerospace Science and Technology Corp. (CASC),China,Taiyuan Launch Center,Long March 6,2015-049F,40904,Not Available
Kanopus-B (Kanopus Vulcan 1) ,Russia,Scientific Production Corporation (joint stock creation of Russian Space Agency),Government,Earth Observation,LEO,Sun-Synchronous,501,505,97.5,94.7,400,110,300,7/22/2012,5,All-Russia Research Institute of Electromechanics (NPP VNIIEM),Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039A,38707,Will provide users with operational hydro-meteorological information.
Kanopus-V-IK-2,Russia,Roscosmos State Corporation,Government,Earth Observation,LEO,Sun-Synchronous,505,508,97.4,94.7,500,0,0,7/14/2017,0,Roscosmos,Russia,Baikonur Cosmodrome,Soyuz 2.1a,2017-042A,42825,Also carries an infrared sensor to detect and localize the source of wildfires.
Kanopus-V-IK-3,Russia,Roscosmos State Corporation,Government,Earth Observation,LEO,Sun-Synchronous,505,509,97.4,94.7,500,0,0,1/31/2018,0,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2018-014A,43180,Will provide multiple Russian government agencies with black-and-white and color observations of Earth.
Kanopus-V-IK-4,Russia,Roscosmos State Corporation,Government,Earth Observation,LEO,Sun-Synchronous,500,509,97.4,94.7,500,0,0,1/31/2018,0,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2018-014B,43181,Will provide multiple Russian government agencies with black-and-white and color observations of Earth.
Kanopus-V-IK-5,Russia,Roscosmos State Corporation,Government,Earth Observation,LEO,Sun-Synchronous,503,511,97.5,94.7,500,0,0,12/27/2018,0,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2018-111A,43876,Will provide multiple Russian government agencies with black-and-white and color observations of Earth.
Kanopus-V-IK-6,Russia,Roscosmos State Corporation,Government,Earth Observation,LEO,Sun-Synchronous,498,511,97.5,94.7,500,0,0,12/27/2018,0,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2018-111B,43877,Will provide multiple Russian government agencies with black-and-white and color observations of Earth.
KazEOSat-1 (Kazcosmos Earth Observation Satellite),Kazakhstan,Kazcosmos,Government,Earth Observation,LEO,Sun-Synchronous,751,754,98.53,99.87,830,0,"1,200",4/30/2014,7.25,Airbus Defence and Space,France,Guiana Space Center,Vega,2014-024A,39731,"High-resolution observation satellite owned by Kazakhstan, tasks including monitoring of natural and agricultural resources, provision of mapping data, and support for rescue operations in the event of a natural disaster."
KazEOSat-2 (kazcosmos Earth Observation Satellite),Kazakhstan,Kazcosmos,Government,Earth Observation,LEO,Sun-Synchronous,612,636,97.99,97.19,185,0,55,6/19/2014,7,Surrey Satellite Technology Ltd.,UK,Dombarovsky Air Base,Dnepr,2014-033A,40010,Medium-resolution observaton satellite owned by Kazakshstan.
GSAT-16,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,Not Available,"35,776","35,798",0.18,1436.1,"3,181",0,0,12/6/2014,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2014-078A,40332,"Replacement for GSAT-3E. 48 transponders - 12 in the C band, 12 in the extended C and 24 in the Ku band."
Yamal-401,Russia,Gazprom Space Systems,Commercial,Communications,GEO,Not Available,"35,761","35,822",0.03,1436.33,"2,976",0,0,12/15/2014,15,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2014-082A,40345,Not Available
KazSciSat-1,Kazakhstan,Ghalam LLP,Commercial,Earth Science,LEO,Sun-Synchronous,572,588,97.7,96.3,4,0,0,12/3/2018,0,Surrey Satellite Technology Ltd.,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AF,43787,Examine the Earth’s ionosphere to identify the effects of natural and man-made impacts on the Earth’s magnetic field.
KazSTSAT (Kazakh Science and Technology Satellite),Kazakhstan,Ghalam LLP,Commercial,Earth Observation,LEO,Sun-Synchronous,573,589,97.7,96.3,100,0,0,12/3/2018,5,Surrey Satellite Technology Ltd.,UK,Vandenberg AFB,Falcon 9,2018-099AB,43783,Part of Disaster Monitoring Constellation (DMC). Wide-angle imaging.
Kent Ridge 1,Singapore,National University of Singapore,Civil,Earth Observation,LEO,Equatorial,534,551,14.98,95.49,78,0,0,12/16/2015,0,National University of Singapore,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077B,41167,Medium resolution hyperspectral camera and shortwave infrared hyperspectral camera. Its secondary payload is a real-time high resolution video camera.
Kepler-2 CASE,Canada,Kepler Communications,Commercial,Communications,LEO,Sun-Synchronous,476,500,97.4,95,4,0,0,11/29/2018,0,Kepler Communications,Canada,Satish Dhawan Space Centre,PSLV,2018-096L,43729,Planned constellation of commercial data relay nanosatellites.
KestrelEye IIM,USA,U.S. Army Space and Missile Defense Command/Army Forces Strategic Command,Military,Earth Observation/Technology Development,LEO,Non-Polar Inclined,400,407,51.6,92.6,50,0,0,10/24/2017,0,U.S. Army Space and Missile Defense Command/Army Forces Strategic Command,USA,International Space Station,Nanorack Deployer,1998-067NE,42982,"Small, low-cost, visible-imagery satellite designed to provide near real-time images to the tactical-level ground Soldier."
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Elliptical,264,"1,050",97.9,97,"18,000","10,000",0,10/19/2005,5,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2005-042A,28888,$1 billion satellite; last use of Titan IV as launch vehicle.
"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Elliptical,200,"1,000",97.8,97,"18,000","10,000",0,1/20/2011,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2011-002A,37348,Believed to be KH-11 class.
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Elliptical,257,997,97.8,97.25,"18,000","10,000",0,8/28/2013,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2013-043A,39232,Believed to be KH-11 class.
"Keyhole 8 (NRO L71, Advanced KH-11, Improved Crystal Block 5, USA 290)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Polar,395,419,74,92.7,"18,000","10,000",0,1/19/2019,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2019-004A,43941,"Believed to be KH-11 class, Improved Crystal Block 5."
KhalifaSat,United Arab Emirates,Emirates Institution for Advanced Science & Technology (EIAST),Government,Earth Observation,LEO,Sun-Synchronous,597,616,97.8,96.8,330,0,0,10/29/2018,0,Mohammed bin Rashid Space Center,United Arab Emirates,Tanegashima Space Center,H2A,2018-084F,43676,First observation satellite built in the UAE.
