Satellite_Names,Launch_Date,Country_of_Operator_Owner,Purpose,Orbit_Classes,Orbit_Types,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Expected_Lifetime_years,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments,names,count
OneWeb-0032,2/6/2020,United Kingdom,Communications,LEO,Polar,93.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008L,45141,Not Available,,
OneWeb-0033,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008M,45142,Not Available,,
OneWeb-0034,3/21/2020,United Kingdom,Communications,LEO,Polar,94.9,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AG,45454,Not Available,,
OneWeb-0035,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008N,45143,Not Available,,
OneWeb-0036,2/6/2020,United Kingdom,Communications,LEO,Polar,93.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008P,45144,Not Available,,
OneWeb-0037,3/21/2020,United Kingdom,Communications,LEO,Polar,94.2,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020S,45440,Not Available,,
OneWeb-0038,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008Q,45145,Not Available,,
OneWeb-0039,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008R,45146,Not Available,,
OneWeb-0040,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008S,45147,Not Available,,
OneWeb-0041,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008T,45148,Not Available,,
OneWeb-0042,3/21/2020,United Kingdom,Communications,LEO,Polar,94.4,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020T,45441,Not Available,,
OneWeb-0043,2/6/2020,United Kingdom,Communications,LEO,Polar,93.9,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008U,45149,Not Available,,
OneWeb-0044,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008V,45150,Not Available,,
OneWeb-0045,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008W,45151,Not Available,,
OneWeb-0046,3/21/2020,United Kingdom,Communications,LEO,Polar,94.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020Z,45447,Not Available,,
OneWeb-0047,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008X,45152,Not Available,,
OneWeb-0048,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008Y,45153,Not Available,,
OneWeb-0049,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008Z,45154,Not Available,,
OneWeb-0050,3/21/2020,United Kingdom,Communications,LEO,Polar,94.4,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AF,45453,Not Available,,
OneWeb-0051,2/6/2020,United Kingdom,Communications,LEO,Polar,93.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008AA,45155,Not Available,,
OneWeb-0052,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008AB,45156,Not Available,,
OneWeb-0053,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008AC,45157,Not Available,,
OneWeb-0054,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008AD,45158,Not Available,,
OneWeb-0055,3/21/2020,United Kingdom,Communications,LEO,Polar,94.4,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020V,45443,Not Available,,
OneWeb-0056,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008AE,45159,Not Available,,
OneWeb-0057,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008AF,45160,Not Available,,
OneWeb-0058,2/6/2020,United Kingdom,Communications,LEO,Polar,93.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008AG,45161,Not Available,,
OneWeb-0059,2/6/2020,United Kingdom,Communications,LEO,Polar,93.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008AH,45162,Not Available,,
OneWeb-0060,3/21/2020,United Kingdom,Communications,LEO,Polar,96.5,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AH,45455,Not Available,,
OneWeb-0061,3/21/2020,United Kingdom,Communications,LEO,Polar,94.4,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020E,45428,Not Available,,
OneWeb-0062,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008AJ,45163,Not Available,,
OneWeb-0063,3/21/2020,United Kingdom,Communications,LEO,Polar,94.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AA,45448,Not Available,,
OneWeb-0064,3/21/2020,United Kingdom,Communications,LEO,Polar,93.9,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020K,45433,Not Available,,
OneWeb-0065,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008AK,45164,Not Available,,
OneWeb-0066,3/21/2020,United Kingdom,Communications,LEO,Polar,93.5,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020A,45424,Not Available,,
OneWeb-0067,3/21/2020,United Kingdom,Communications,LEO,Polar,93.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020B,45425,Not Available,,
OneWeb-0068,3/21/2020,United Kingdom,Communications,LEO,Polar,94.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020Y,45446,Not Available,,
OneWeb-0069,3/21/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020G,45430,Not Available,,
OneWeb-0080,3/21/2020,United Kingdom,Communications,LEO,Polar,93.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020C,45426,Not Available,,
OneWeb-0081,3/21/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020F,45429,Not Available,,
OneWeb-0082,3/21/2020,United Kingdom,Communications,LEO,Polar,94.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AE,45452,Not Available,,
OneWeb-0083,3/21/2020,United Kingdom,Communications,LEO,Polar,94,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020M,45435,Not Available,,
OneWeb-0085,3/21/2020,United Kingdom,Communications,LEO,Polar,94,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020Q,45438,Not Available,,
OneWeb-0086,3/21/2020,United Kingdom,Communications,LEO,Polar,96.2,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AJ,45456,Not Available,,
OneWeb-0087,3/21/2020,United Kingdom,Communications,LEO,Polar,95.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AD,45451,Not Available,,
OneWeb-0088,3/21/2020,United Kingdom,Communications,LEO,Polar,96.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AK,45457,Not Available,,
OneWeb-0090,3/21/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020D,45427,Not Available,,
OneWeb-0092,3/21/2020,United Kingdom,Communications,LEO,Polar,94.1,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020P,45437,Not Available,,
OneWeb-0093,3/21/2020,United Kingdom,Communications,LEO,Polar,94,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020W,45444,Not Available,,
OneWeb-0094,3/21/2020,United Kingdom,Communications,LEO,Polar,94.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AC,45450,Not Available,,
OneWeb-0095,3/21/2020,United Kingdom,Communications,LEO,Polar,94,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020N,45436,Not Available,,
OneWeb-0096,3/21/2020,United Kingdom,Communications,LEO,Polar,94.2,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020R,45439,Not Available,,
OneWeb-0098,3/21/2020,United Kingdom,Communications,LEO,Polar,94.3,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020U,45442,Not Available,,
OPS-Sat,12/18/2019,ESA,Technology Development,LEO,Sun-Synchronous,95.02,5,0,0,ESA,Guiana Space Center,Soyuz,2019-092F,44878,Demonstrate ground-breaking satellite and ground control software under real flight conditions. ,,
OPTOS,11/21/2013,Spain,Technology Development,LEO,Sun-Synchronous,98.7,3,0,0,Spain,Dombarovsky Air Base,Dnepr,2013-066E,39420,"Study degradation of lenses in space environment by imaging the same region repeatedly under the same light conditions, FIBOS (Fiber Bragg Gratings for Optical Sensing) to measure temperature, and the GMR (Giant Magneto-Resistance) system to study magnetic fluxes in the Earth's magnetic field.",,
Optsat-3000,8/1/2017,Italy,Earth Observation,LEO,Sun-Synchronous,93.5,368,0,0,Israel,Guiana Space Center,Vega,2017-044A,42900,High resolution electro-optical images.,,
Beidou 2-18 (Compass G-7),6/12/2016,China,Navigation/Global Positioning,GEO,Not Available,1436.1,"3,800",0,8,China,Xichang Satellite Launch Center,Long March 3C,2016-037A,41586,Not Available,,
ABS-2A,6/15/2016,Multinational,Communications,GEO,Not Available,1436.1,"1,800",0,15,USA,Cape Canaveral,Falcon 9,2016-038A,41588,Not Available,,
Eutelsat 117 West B (Satmex 9),6/15/2016,Multinational,Communications,GEO,Not Available,1436.1,"5,500","2,300",15,USA,Cape Canaveral,Falcon 9,2016-038B,41589,Fathfinusrs for Gmericas's 20-116.8 Capellico GEO conscollation.,,
BRISat,6/19/2016,Indonesia,Communications,GEO,Not Available,1436.2,"3,540",0,15,USA,Guiana Space Center,Ariane 5 ECA,2016-039A,41591,First satellite owned and operated by a bank. Will expand secure banking communications to almost 60 million customers across the Indonesia archipelago.,,
Echostar 18,6/19/2016,USA,Communications,GEO,Not Available,1436.3,"6,300",0,15,USA,Guiana Space Center,Ariane 5 ECA,2016-039B,41592,First in Echostar's fleet to provide coverage to Cuba.,,
ORBCOMM FM-10 (ORBCOMM A2),12/23/1997,USA,Communications,LEO,Non-Polar Inclined,100.3,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1997-084B,25113,Not Available,,
ORBCOMM FM-11 (ORBCOMM A3),12/23/1997,USA,Communications,LEO,Non-Polar Inclined,100.3,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1997-084C,25114,Not Available,,
ORBCOMM FM-12 (ORBCOMM A4),12/23/1997,USA,Communications,LEO,Non-Polar Inclined,100.3,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1997-084D,25115,Not Available,,
ORBCOMM FM-13 (ORBCOMM B1),8/2/1998,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1998-046H,25420,Not Available,,
ORBCOMM FM-14 (ORBCOMM B2),8/2/1998,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1998-046G,25419,Not Available,,
ORBCOMM FM-15 (ORBCOMM B3),8/2/1998,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1998-046F,25418,Not Available,,
ORBCOMM FM-18 (ORBCOMM B6),8/2/1998,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1998-046B,25414,Not Available,,
ORBCOMM FM-19 (ORBCOMM B7),8/2/1998,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1998-046C,25415,Not Available,,
ORBCOMM FM-20 (ORBCOMM B8),8/2/1998,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1998-046D,25416,Not Available,,
ORBCOMM FM-21 (ORBCOMM C1),9/23/1998,USA,Communications,LEO,Non-Polar Inclined,101.21,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1998-053A,25475,Not Available,,
ORBCOMM FM-23 (ORBCOMM C3),9/23/1998,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1998-053C,25477,Not Available,,
ORBCOMM FM-27 (ORBCOMM C7),9/23/1998,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1998-053G,25481,Not Available,,
ORBCOMM FM-30 (ORBCOMM D2),12/4/1999,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1999-065A,25980,Not Available,,
ORBCOMM FM-31 (ORBCOMM D3),12/4/1999,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1999-065B,25981,Not Available,,
ORBCOMM FM-32 (ORBCOMM D4),12/4/1999,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1999-065C,25982,Not Available,,
ORBCOMM FM-35 (ORBCOMM D7),12/4/1999,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1999-065F,25985,Not Available,,
ORBCOMM FM-36 (ORBCOMM D8),12/4/1999,USA,Communications,LEO,Non-Polar Inclined,100.7,45,22,5,USA,Wallops Island Flight Facility,Pegasus XL,1999-065E,25984,Not Available,,
ORBCOMM FM-4 (ORBCOMM G2),2/10/1998,USA,Communications,LEO,Polar,100.9,45,22,5,USA,Vandenberg AFB,Taurus,1998-007C,25159,Not Available,,
ORBCOMM FM-5 (ORBCOMM A6),12/23/1997,USA,Communications,LEO,Non-Polar Inclined,100.3,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1997-084F,25117,Not Available,,
ORBCOMM FM-6 (ORBCOMM A7),12/23/1997,USA,Communications,LEO,Non-Polar Inclined,100.3,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1997-084G,25118,Not Available,,
ORBCOMM FM-7 (ORBCOMM A8),12/23/1997,USA,Communications,LEO,Non-Polar Inclined,100.3,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1997-084H,25119,Not Available,,
ORBCOMM FM-8 (ORBCOMM A1),12/23/1997,USA,Communications,LEO,Non-Polar Inclined,100.3,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1997-084A,25112,Not Available,,
ORBCOMM FM-9 (ORBCOMM A5),12/23/1997,USA,Communications,LEO,Non-Polar Inclined,100.3,45,22,5,USA,Wallops Island Flight Facility,Pegasus,1997-084E,25116,Not Available,,
ORBCOMM OG2 FM-103,7/14/2014,USA,Communications,LEO,Non-Polar Inclined,98.36,172,0,5,USA,Cape Canaveral,Falcon 9,2014-040F,40091,Next generation of Orbcomm satellites.,,
ORBCOMM OG2 FM-107,7/14/2014,USA,Communications,LEO,Non-Polar Inclined,98.34,172,0,5,USA,Cape Canaveral,Falcon 9,2014-040B,40087,Not Available,,
ORBCOMM OG2 FM-108,12/22/2015,USA,Communications,LEO,Non-Polar Inclined,97.42,172,0,5,USA,Cape Canaveral,Falcon 9,2015-081J,41187,Not Available,,
ORBCOMM OG2 FM-109,7/14/2014,USA,Communications,LEO,Non-Polar Inclined,98.34,172,0,5,USA,Cape Canaveral,Falcon 9,2014-040A,40086,Not Available,,
ORBCOMM OG2 FM-110,12/22/2015,USA,Communications,LEO,Non-Polar Inclined,97.44,172,0,5,USA,Cape Canaveral,Falcon 9,2015-081D,41182,Not Available,,
ORBCOMM OG2 FM-112,12/22/2015,USA,Communications,LEO,Non-Polar Inclined,97.43,172,0,5,USA,Cape Canaveral,Falcon 9,2015-081F,41184,Not Available,,
ORBCOMM OG2 FM-113,12/22/2015,USA,Communications,LEO,Non-Polar Inclined,97.41,172,0,5,USA,Cape Canaveral,Falcon 9,2015-081G,41185,Not Available,,
ORBCOMM OG2 FM-114,12/22/2015,USA,Communications,LEO,Non-Polar Inclined,97.43,172,0,5,USA,Cape Canaveral,Falcon 9,2015-081A,41179,Not Available,,
ORBCOMM OG2 FM-115,12/22/2015,USA,Communications,LEO,Non-Polar Inclined,97.39,172,0,5,USA,Cape Canaveral,Falcon 9,2015-081H,41186,Not Available,,
ORBCOMM OG2 FM-116,12/22/2015,USA,Communications,LEO,Non-Polar Inclined,97.4,172,0,5,USA,Cape Canaveral,Falcon 9,2015-081L,41189,Not Available,,
ORBCOMM OG2 FM-117,12/22/2015,USA,Communications,LEO,Non-Polar Inclined,97.42,172,0,5,USA,Cape Canaveral,Falcon 9,2015-081K,41188,Not Available,,
ORBCOMM OG2 FM-118,12/22/2015,USA,Communications,LEO,Non-Polar Inclined,97.44,172,0,5,USA,Cape Canaveral,Falcon 9,2015-081E,41183,Not Available,,
Orbital Factory-2,1/31/2020,USA,Technology Developmen,LEO,Non-Polar Inclined,93.9,2,0,0,USA,Cygnus,Nanoracks Deployer,2019-071J,45119,Test additive manufacturing --  or 3D printing -- utilizing conductive polymers to perform the simulated repair of a solar array junction in orbit.,,
Orbweaver-1,12/3/2018,USA,Technology Development,LEO,Sun-Synchronous,96.3,0,0,0,USA,Vandenberg AFB,Falcon 9,2018-099AP,43795,Technology demonstration mission.,,
Orbweaver-2,12/3/2018,USA,Technology Development,LEO,Sun-Synchronous,96.3,0,0,0,USA,Vandenberg AFB,Falcon 9,2018-099AD,43785,Technology demonstration mission. ,,
ORCA (Optical RF Communications Adjunct),8/8/2019,USA,Technology Development,LEO,Non-Polar Inclined,93.9,9,0,0,USA,Cygnus,SEOPS Slingshot deployer ,2019-071K,45120,Technology development.,,
"ORS-5 (Operationally Responsive Space-5, SensorSat)",8/26/2017,USA,Technology Demonstration,LEO,Equatorial,96.7,140,0,3,USA,Cape Canaveral,Minotaur 4,2017-050A,42921,Space situational awareness. Tracking debris and other objects in space.,,
OTB-1 (Orbital Test Bed 1),6/25/2019,USA,Technology Development,LEO,Sun-Synchronous,99,138,0,25,UK,Cape Canaveral,Falcon Heavy,2019-036C,44341,"One of the payloads is NASA's DSAC (Deep Space Atomic Clock), a technology demonstration mission to validate a miniaturized, ultra-precise mercury-ion atomic clock that is 100 times more stable than today’s best navigation clocks.",,
OVS-2,4/26/2018,China,Earth Observation,LEO,Sun-Synchronous,94.6,90,0,0,China,Jiuquan Satellite Launch Center,Long March 11,2018-040B,43440,"Survey natural resources, cities, crops and forests, and other environmental features.",,
Painani-1,6/29/2019,Mexico,Earth Observation,LEO,Non-Polar Inclined,93.6,4,0,0,Mexico,Rocket Lab Launch Complex 1,Electron,2019-037A,44365,Low resolution earth observation.,,
MUOS-5 (Mobile User Objective System 5),6/24/2016,USA,Communications,GEO,Not Available,1436.1,"6,804",0,0,USA,Cape Canaveral,Atlas 5,2016-041A,41622,"Main engine failed during initial orbit-raising. Planned for 75 E, but is located at 105 W. Slightly more inclined than normal but can function. Spare. Completes the five-satellite constellation.",,
PakTES-1a,7/9/2018,Pakistan,Earth Observation,LEO,Sun-Synchronous,96.9,285,0,3,China,Jiuquan Satellite Launch Center,Long March 2C,2018-056B,43530,Not Available,,
"SDS IV-1 (Satellite Data System, NRO L-61, USA 269, Quasar)",7/28/2016,USA,Communications,GEO,Not Available,1436.1,0,0,0,USA,Cape Canaveral,Atlas 5,2016-047A,41724,Possible 4th generation of data relay satellites.,,
Palisade,10/17/2019,USA,Technology Demonstration,LEO,Polar,109.8,20,0,0,USA,Rocket Lab Launch Complex 1,Electron,2019-069A,44634,Technology demonstration mission.,,
Tiantong-1-01,8/5/2016,China,Communications,GEO,Not Available,1436.05,0,0,0,China,Xichang Satellite Launch Center,Long March 3B,2016-048A,41725,First satellite in China's mobile telecom network.,,
JCSat 16 ,8/14/2016,Japan,Communications,GEO,Not Available,1436.01,"4,500",0,15,USA,Cape Canaveral,Falcon 9,2016-050A,41729,Not Available,,
Parus-95 (Cosmos 2407),7/22/2004,Russia,Communications,LEO,Polar,104.7,825,0,3,Russia,Plesetsk Cosmodrome,Kosmos 3M,2004-028A,28380,Normally part of a six-satellite constellation.,,
Parus-96 (Cosmos 2414),1/20/2005,Russia,Communications,LEO,Polar,103.8,825,0,3,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-002A,28521,Normally part of a six-satellite constellation.,,
Parus-99 (Cosmos 2463),4/27/2010,Russia,Communications,LEO,Polar,105,820,0,3,Russia,Plesetsk Cosmodrome,Kosmos 3M,2010-017A,36519,Normally part of a six-satellite constellation.,,
"Pathfinder II (Sirion, Helios)",12/3/2018,USA,Communications,LEO,Sun-Synchronous,96.3,20,0,0,USA,Vandenberg AFB,Falcon 9,2018-099B,43759,Part of a planned constellation of 20 satellites to serve the Internet of Things connectivity market.,,
Paz,2/22/2018,Spain,Earth Observation,LEO,Sun-Synchronous,94.8,"1,450",0,0,France/UK/Spain,Vandenberg AFB,Falcon 9,2018-020A,43215,X-band radar imaging. Will share orbit with 2 German radar satellites -- TerraSAR-X and TanDEM-X and coordinate with them. Part of ESA's Copernicus mission.,,
"PCSat (Prototype Communications SATellite, Navy-Oscar 44, NO-44)",9/30/2001,USA,Communications/Technology Development,LEO,Non-Polar Inclined,100.7,10,10,5,USA,Kodiak Launch Complex,Athena 1,2001-043C,26931,Built by midshipmen to learn technology and operation; will be part of Amateur Radio Reporting System (APRS); only operates fully for a few weeks a year (when in full sun).,,
Pearl White 1,8/19/2019,USA,Technology Development,LEO,Non-Polar Inclined,95.5,8,0,0,USA,Rocket Lab Launch Complex 1,Electron,2019-054C,44497,Technology demonstration for Air Force Space Command,,
